County,State,Population,Income,State_Abbreviation
floyd county,kentucky,35274,37360.0,ky
franklin county,kentucky,51682,59498.0,ky
fulton county,kentucky,6512,33567.0,ky
gallatin county,kentucky,8775,54978.0,ky
garrard county,kentucky,17362,58137.0,ky
grant county,kentucky,25244,60040.0,ky
graves county,kentucky,36615,48187.0,ky
grayson county,kentucky,26524,40839.0,ky
green county,kentucky,11291,34363.0,ky
greenup county,kentucky,35649,55431.0,ky
hancock county,kentucky,9064,61622.0,ky
hardin county,kentucky,111607,59863.0,ky
harlan county,kentucky,26164,30210.0,ky
harrison county,kentucky,18950,53862.0,ky
hart county,kentucky,19460,45342.0,ky
henderson county,kentucky,44329,53635.0,ky
henry county,kentucky,15657,52301.0,ky
hickman county,kentucky,4424,46321.0,ky
hopkins county,kentucky,45138,49495.0,ky
jackson county,kentucky,12984,33699.0,ky
jefferson county,kentucky,777874,61633.0,ky
jessamine county,kentucky,53626,65196.0,ky
johnson county,kentucky,22556,41489.0,ky
kenton county,kentucky,169495,68503.0,ky
knott county,kentucky,14053,35583.0,ky
knox county,kentucky,29909,29206.0,ky
larue county,kentucky,15028,53555.0,ky
laurel county,kentucky,62561,46604.0,ky
lawrence county,kentucky,16290,37014.0,ky
lee county,kentucky,7451,29817.0,ky
leslie county,kentucky,10278,34528.0,ky
letcher county,kentucky,21253,35278.0,ky
lewis county,kentucky,12987,32402.0,ky
lincoln county,kentucky,24243,45856.0,ky
livingston county,kentucky,8959,51081.0,ky
logan county,kentucky,27771,53133.0,ky
lyon county,kentucky,8803,55203.0,ky
mccracken county,kentucky,67454,53366.0,ky
mccreary county,kentucky,16892,33939.0,ky
mclean county,kentucky,9100,57027.0,ky
madison county,kentucky,94666,55002.0,ky
magoffin county,kentucky,11497,29615.0,ky
marion county,kentucky,19725,48791.0,ky
marshall county,kentucky,31748,58989.0,ky
martin county,kentucky,11140,40826.0,ky
mason county,kentucky,16931,48106.0,ky
meade county,kentucky,30131,63944.0,ky
menifee county,kentucky,6194,43313.0,ky
mercer county,kentucky,22850,53750.0,ky
metcalfe county,kentucky,10349,43196.0,ky
monroe county,kentucky,11233,39334.0,ky
montgomery county,kentucky,28219,49313.0,ky
morgan county,kentucky,13820,41664.0,ky
muhlenberg county,kentucky,30694,46124.0,ky
nelson county,kentucky,47098,64354.0,ky
nicholas county,kentucky,7712,44306.0,ky
ohio county,kentucky,23688,48481.0,ky
oldham county,kentucky,68685,109815.0,ky
owen county,kentucky,11294,52450.0,ky
owsley county,kentucky,3953,29340.0,ky
pendleton county,kentucky,14607,57619.0,ky
perry county,kentucky,27929,40577.0,ky
pike county,kentucky,57391,36910.0,ky
powell county,kentucky,13133,39493.0,ky
pulaski county,kentucky,65423,42652.0,ky
robertson county,kentucky,2257,53833.0,ky
rockcastle county,kentucky,16115,40406.0,ky
rowan county,kentucky,24861,45681.0,ky
russell county,kentucky,18156,41851.0,ky
scott county,kentucky,58252,73113.0,ky
shelby county,kentucky,48461,73974.0,ky
simpson county,kentucky,19718,53420.0,ky
spencer county,kentucky,19916,92973.0,ky
taylor county,kentucky,26235,56890.0,ky
todd county,kentucky,12285,54823.0,ky
trigg county,kentucky,14192,53693.0,ky
trimble county,kentucky,8530,62125.0,ky
union county,kentucky,13544,50533.0,ky
warren county,kentucky,137212,57625.0,ky
washington county,kentucky,12072,59049.0,ky
wayne county,kentucky,19540,41237.0,ky
webster county,kentucky,12813,47051.0,ky
whitley county,kentucky,36939,41817.0,ky
wolfe county,kentucky,6507,24349.0,ky
woodford county,kentucky,27075,72765.0,ky
acadia parish,louisiana,57288,42368.0,la
allen parish,louisiana,22687,47660.0,la
ascension parish,louisiana,128369,86256.0,la
assumption parish,louisiana,20689,42831.0,la
avoyelles parish,louisiana,39236,37903.0,la
beauregard parish,louisiana,36584,57130.0,la
bienville parish,louisiana,12776,32328.0,la
bossier parish,louisiana,129144,58289.0,la
caddo parish,louisiana,233092,43153.0,la
calcasieu parish,louisiana,205282,59470.0,la
caldwell parish,louisiana,9571,41861.0,la
cameron parish,louisiana,5080,64525.0,la
catahoula parish,louisiana,8805,42232.0,la
claiborne parish,louisiana,14038,29574.0,la
concordia parish,louisiana,18376,36157.0,la
de soto parish,louisiana,26919,45364.0,la
east baton rouge parish,louisiana,453301,58167.0,la
east carroll parish,louisiana,7220,25049.0,la
east feliciana parish,louisiana,19338,58125.0,la
evangeline parish,louisiana,32215,32465.0,la
franklin parish,louisiana,19668,38250.0,la
grant parish,louisiana,22236,52779.0,la
iberia parish,louisiana,68975,52278.0,la
iberville parish,louisiana,29824,52994.0,la
jackson parish,louisiana,14876,41298.0,la
jefferson parish,louisiana,433688,58638.0,la
jefferson davis parish,louisiana,32345,45578.0,la
lafayette parish,louisiana,244205,63311.0,la
lafourche parish,louisiana,97504,58747.0,la
lasalle parish,louisiana,14834,52205.0,la
lincoln parish,louisiana,48152,38458.0,la
livingston parish,louisiana,145830,71547.0,la
madison parish,louisiana,9799,36875.0,la
morehouse parish,louisiana,25025,33758.0,la
natchitoches parish,louisiana,37026,33965.0,la
orleans parish,louisiana,376971,45594.0,la
ouachita parish,louisiana,158768,46021.0,la
plaquemines parish,louisiana,23303,69970.0,la
pointe coupee parish,louisiana,20356,50431.0,la
rapides parish,louisiana,128654,49639.0,la
red river parish,louisiana,7564,41227.0,la
richland parish,louisiana,19805,42956.0,la
sabine parish,louisiana,22135,39975.0,la
st. bernard parish,louisiana,44258,52538.0,la
st. charles parish,louisiana,52282,72088.0,la
st. helena parish,louisiana,10912,40857.0,la
st. james parish,louisiana,19742,56207.0,la
st. john the baptist parish,louisiana,42094,60743.0,la
st. landry parish,louisiana,82071,41068.0,la
st. martin parish,louisiana,51540,46711.0,la
st. mary parish,louisiana,48232,43097.0,la
st. tammany parish,louisiana,269388,70986.0,la
tangipahoa parish,louisiana,135217,50659.0,la
tensas parish,louisiana,4043,32962.0,la
terrebonne parish,louisiana,108708,57940.0,la
union parish,louisiana,21091,44192.0,la
vermilion parish,louisiana,57204,56347.0,la
vernon parish,louisiana,48027,53215.0,la
washington parish,louisiana,45133,39168.0,la
webster parish,louisiana,36184,31197.0,la
west baton rouge parish,louisiana,27792,72391.0,la
west carroll parish,louisiana,9594,42050.0,la
west feliciana parish,louisiana,15494,63450.0,la
winn parish,louisiana,13488,43710.0,la
androscoggin county,maine,111034,59287.0,me
aroostook county,maine,66859,47278.0,me
cumberland county,maine,305231,80679.0,me
franklin county,maine,29687,53607.0,me
hancock county,maine,56192,60354.0,me
kennebec county,maine,124486,58097.0,me
knox county,maine,41084,63399.0,me
lincoln county,maine,35828,62121.0,me
oxford county,maine,58629,51384.0,me
penobscot county,maine,152765,55125.0,me
piscataquis county,maine,17165,46948.0,me
sagadahoc county,maine,37071,73343.0,me
somerset county,maine,50592,47488.0,me
waldo county,maine,39912,59880.0,me
washington county,maine,31121,46689.0,me
york county,maine,214591,73856.0,me
allegany county,maryland,67729,51090.0,md
anne arundel county,maryland,590336,108048.0,md
baltimore county,maryland,849316,81846.0,md
calvert county,maryland,93928,120295.0,md
caroline county,maryland,33386,63027.0,md
carroll county,maryland,173873,104708.0,md
cecil county,maryland,103905,81817.0,md
charles county,maryland,168698,107808.0,md
dorchester county,maryland,32489,55652.0,md
frederick county,maryland,279835,106129.0,md
garrett county,maryland,28702,58011.0,md
harford county,maryland,262977,98495.0,md
howard county,maryland,334529,129549.0,md
kent county,maryland,19270,64451.0,md
montgomery county,maryland,1054827,117345.0,md
prince george's county,maryland,955306,91124.0,md
queen anne's county,maryland,50798,99597.0,md
st. mary's county,maryland,114468,102859.0,md
somerset county,maryland,24584,48661.0,md
talbot county,maryland,37626,79349.0,md
washington county,maryland,154937,67349.0,md
wicomico county,maryland,103980,63610.0,md
worcester county,maryland,53132,71262.0,md
baltimore   county,maryland,576498,54124.0,md
barnstable county,massachusetts,232411,82619.0,ma
berkshire county,massachusetts,128657,63159.0,ma
bristol county,massachusetts,580164,74290.0,ma
dukes county,massachusetts,21097,77392.0,ma
essex county,massachusetts,807074,86684.0,ma
franklin county,massachusetts,71015,64949.0,ma
hampden county,massachusetts,462718,61310.0,ma
hampshire county,massachusetts,161572,76959.0,ma
middlesex county,massachusetts,1614742,111790.0,ma
nantucket county,massachusetts,14491,116571.0,ma
norfolk county,massachusetts,724505,112089.0,ma
plymouth county,massachusetts,533003,98190.0,ma
suffolk county,massachusetts,771245,80260.0,ma
worcester county,massachusetts,862029,81660.0,ma
alcona county,michigan,10235,46187.0,mi
alger county,michigan,8821,48822.0,mi
allegan county,michigan,120950,70269.0,mi
alpena county,michigan,28893,44864.0,mi
antrim county,michigan,23813,60378.0,mi
arenac county,michigan,14975,48989.0,mi
baraga county,michigan,8215,45792.0,mi
barry county,michigan,62992,68779.0,mi
bay county,michigan,102985,52510.0,mi
benzie county,michigan,18223,68875.0,mi
berrien county,michigan,153101,55893.0,mi
branch county,michigan,44985,56077.0,mi
calhoun county,michigan,133819,53286.0,mi
cass county,michigan,51483,60725.0,mi
charlevoix county,michigan,26086,63508.0,mi
cheboygan county,michigan,25752,53482.0,mi
chippewa county,michigan,36816,53079.0,mi
clare county,michigan,31065,43069.0,mi
clinton county,michigan,79426,76161.0,mi
crawford county,michigan,13204,54240.0,mi
delta county,michigan,36826,51117.0,mi
dickinson county,michigan,25787,54775.0,mi
eaton county,michigan,108944,72173.0,mi
emmet county,michigan,34225,63488.0,mi
genesee county,michigan,404208,54052.0,mi
gladwin county,michigan,25485,48279.0,mi
gogebic county,michigan,14361,41948.0,mi
grand traverse county,michigan,95860,69393.0,mi
gratiot county,michigan,41544,53347.0,mi
hillsdale county,michigan,45546,54110.0,mi
houghton county,michigan,37313,48623.0,mi
huron county,michigan,31252,51924.0,mi
ingham county,michigan,284034,58226.0,mi
ionia county,michigan,67197,64436.0,mi
iosco county,michigan,25369,44334.0,mi
iron county,michigan,11635,45792.0,mi
isabella county,michigan,64813,48840.0,mi
jackson county,michigan,160050,57746.0,mi
kalamazoo county,michigan,261108,61739.0,mi
kalkaska county,michigan,17979,50363.0,mi
kent county,michigan,658046,69786.0,mi
keweenaw county,michigan,2107,54010.0,mi
lake county,michigan,12308,40753.0,mi
lapeer county,michigan,88513,69194.0,mi
leelanau county,michigan,22623,72709.0,mi
lenawee county,michigan,98956,60656.0,mi
livingston county,michigan,195014,88908.0,mi
luce county,michigan,5309,49667.0,mi
mackinac county,michigan,10906,52989.0,mi
macomb county,michigan,876792,67828.0,mi
manistee county,michigan,25350,54428.0,mi
marquette county,michigan,66103,57981.0,mi
mason county,michigan,29383,55035.0,mi
mecosta county,michigan,40031,48440.0,mi
menominee county,michigan,23299,52457.0,mi
midland county,michigan,83457,67642.0,mi
missaukee county,michigan,15130,50695.0,mi
monroe county,michigan,155274,68006.0,mi
montcalm county,michigan,67220,54803.0,mi
montmorency county,michigan,9297,43913.0,mi
muskegon county,michigan,176511,57047.0,mi
newaygo county,michigan,50296,54235.0,mi
oakland county,michigan,1270017,86275.0,mi
oceana county,michigan,26815,56454.0,mi
ogemaw county,michigan,20726,44165.0,mi
ontonagon county,michigan,5868,44605.0,mi
osceola county,michigan,23105,50722.0,mi
oscoda county,michigan,8311,45659.0,mi
otsego county,michigan,25289,59330.0,mi
ottawa county,michigan,299157,77288.0,mi
presque isle county,michigan,13093,52181.0,mi
roscommon county,michigan,23633,46218.0,mi
saginaw county,michigan,189591,52749.0,mi
st. clair county,michigan,160053,62847.0,mi
st. joseph county,michigan,60758,57080.0,mi
sanilac county,michigan,40506,52459.0,mi
schoolcraft county,michigan,8030,54163.0,mi
shiawassee county,michigan,67877,58004.0,mi
tuscola county,michigan,52917,55174.0,mi
van buren county,michigan,75658,61549.0,mi
washtenaw county,michigan,369390,79198.0,mi
wayne county,michigan,1774816,52830.0,mi
wexford county,michigan,33901,54114.0,mi
aitkin county,minnesota,15887,50900.0,mn
anoka county,minnesota,367018,88680.0,mn
becker county,minnesota,35219,64296.0,mn
beltrami county,minnesota,46380,55910.0,mn
benton county,minnesota,41459,65529.0,mn
big stone county,minnesota,5145,58095.0,mn
blue earth county,minnesota,69280,65000.0,mn
brown county,minnesota,25819,62999.0,mn
carlton county,minnesota,36409,68579.0,mn
carver county,minnesota,108626,107890.0,mn
cass county,minnesota,30639,56487.0,mn
chippewa county,minnesota,12357,59051.0,mn
chisago county,minnesota,57469,90870.0,mn
clay county,minnesota,65574,67984.0,mn
clearwater county,minnesota,8576,56605.0,mn
cook county,minnesota,5617,65045.0,mn
cottonwood county,minnesota,11569,56297.0,mn
crow wing county,minnesota,67270,60810.0,mn
dakota county,minnesota,442038,93892.0,mn
dodge county,minnesota,20935,84568.0,mn
douglas county,minnesota,39238,69069.0,mn
faribault county,minnesota,13909,55186.0,mn
fillmore county,minnesota,21271,67195.0,mn
freeborn county,minnesota,30749,59862.0,mn
goodhue county,minnesota,47968,71414.0,mn
grant county,minnesota,6153,60781.0,mn
hennepin county,minnesota,1267416,85438.0,mn
houston county,minnesota,18778,62397.0,mn
hubbard county,minnesota,21715,63122.0,mn
isanti county,minnesota,41906,78687.0,mn
itasca county,minnesota,45070,58393.0,mn
jackson county,minnesota,9990,64134.0,mn
kanabec county,minnesota,16159,60982.0,mn
kandiyohi county,minnesota,43767,67798.0,mn
kittson county,minnesota,4146,60676.0,mn
koochiching county,minnesota,11941,54708.0,mn
lac qui parle county,minnesota,6684,60718.0,mn
lake county,minnesota,10986,66828.0,mn
lake of the woods county,minnesota,3823,55913.0,mn
le sueur county,minnesota,28841,80425.0,mn
lincoln county,minnesota,5567,58621.0,mn
lyon county,minnesota,25231,62388.0,mn
mcleod county,minnesota,36735,67067.0,mn
mahnomen county,minnesota,5414,48021.0,mn
marshall county,minnesota,8988,64239.0,mn
martin county,minnesota,19915,57002.0,mn
meeker county,minnesota,23376,67099.0,mn
mille lacs county,minnesota,26867,61995.0,mn
morrison county,minnesota,33992,61873.0,mn
mower county,minnesota,40158,60386.0,mn
murray county,minnesota,8144,69250.0,mn
nicollet county,minnesota,34332,74317.0,mn
nobles county,minnesota,21991,57101.0,mn
norman county,minnesota,6416,58846.0,mn
olmsted county,minnesota,163436,84656.0,mn
otter tail county,minnesota,60046,63587.0,mn
pennington county,minnesota,13780,64268.0,mn
pine county,minnesota,29302,59840.0,mn
pipestone county,minnesota,9313,58288.0,mn
polk county,minnesota,30757,61643.0,mn
pope county,minnesota,11403,67040.0,mn
ramsey county,minnesota,543257,71494.0,mn
red lake county,minnesota,3933,62417.0,mn
redwood county,minnesota,15366,59638.0,mn
renville county,minnesota,14608,61233.0,mn
rice county,minnesota,67262,71384.0,mn
rock county,minnesota,9680,68638.0,mn
roseau county,minnesota,15258,65651.0,mn
st. louis county,minnesota,199182,61213.0,mn
scott county,minnesota,153268,109031.0,mn
sherburne county,minnesota,99074,92374.0,mn
sibley county,minnesota,14917,67412.0,mn
stearns county,minnesota,158947,68212.0,mn
steele county,minnesota,37349,73468.0,mn
stevens county,minnesota,9700,65750.0,mn
swift county,minnesota,9749,53664.0,mn
todd county,minnesota,25237,58021.0,mn
traverse county,minnesota,3286,56667.0,mn
wabasha county,minnesota,21509,70603.0,mn
wadena county,minnesota,14177,50100.0,mn
waseca county,minnesota,19000,66502.0,mn
washington county,minnesota,272256,102258.0,mn
watonwan county,minnesota,11135,59494.0,mn
wilkin county,minnesota,6395,57907.0,mn
winona county,minnesota,49630,61753.0,mn
wright county,minnesota,144845,94276.0,mn
yellow medicine county,minnesota,9411,65014.0,mn
adams county,mississippi,28742,33860.0,ms
alcorn county,mississippi,34349,44068.0,ms
amite county,mississippi,12637,31367.0,ms
attala county,mississippi,17742,36196.0,ms
benton county,mississippi,7646,39311.0,ms
bolivar county,mississippi,30308,33729.0,ms
calhoun county,mississippi,13018,41142.0,ms
carroll county,mississippi,9879,46147.0,ms
chickasaw county,mississippi,17011,38620.0,ms
choctaw county,mississippi,8106,37859.0,ms
claiborne county,mississippi,8908,31305.0,ms
clarke county,mississippi,15421,40838.0,ms
clay county,mississippi,18535,35638.0,ms
coahoma county,mississippi,20810,31312.0,ms
copiah county,mississippi,27995,46530.0,ms
covington county,mississippi,18279,40233.0,ms
desoto county,mississippi,188633,73460.0,ms
forrest county,mississippi,77875,45780.0,ms
franklin county,mississippi,7676,40479.0,ms
george county,mississippi,24762,47385.0,ms
greene county,mississippi,13630,49581.0,ms
grenada county,mississippi,21365,40808.0,ms
hancock county,mississippi,46055,58196.0,ms
harrison county,mississippi,209396,51590.0,ms
hinds county,mississippi,222679,46179.0,ms
holmes county,mississippi,16496,24958.0,ms
humphreys county,mississippi,7551,30327.0,ms
issaquena county,mississippi,1280,17109.0,ms
itawamba county,mississippi,23838,53510.0,ms
jackson county,mississippi,143987,55107.0,ms
jasper county,mississippi,16291,39992.0,ms
jefferson county,mississippi,7205,29205.0,ms
jefferson davis county,mississippi,11134,34771.0,ms
jones county,mississippi,66744,43659.0,ms
kemper county,mississippi,8829,37667.0,ms
lafayette county,mississippi,56884,54720.0,ms
lamar county,mississippi,65353,63925.0,ms
lauderdale county,mississippi,72088,43301.0,ms
lawrence county,mississippi,11812,39443.0,ms
leake county,mississippi,21196,39660.0,ms
lee county,mississippi,82883,60708.0,ms
leflore county,mississippi,27557,30182.0,ms
lincoln county,mississippi,34943,43926.0,ms
lowndes county,mississippi,58150,49660.0,ms
madison county,mississippi,109813,74688.0,ms
marion county,mississippi,24378,34286.0,ms
marshall county,mississippi,33725,42968.0,ms
monroe county,mississippi,33883,47353.0,ms
montgomery county,mississippi,9729,35903.0,ms
neshoba county,mississippi,28993,43416.0,ms
newton county,mississippi,21056,44530.0,ms
noxubee county,mississippi,10123,38999.0,ms
oktibbeha county,mississippi,51842,41094.0,ms
panola county,mississippi,32851,39673.0,ms
pearl river county,mississippi,56503,53855.0,ms
perry county,mississippi,11571,47368.0,ms
pike county,mississippi,39973,36308.0,ms
pontotoc county,mississippi,31445,52150.0,ms
prentiss county,mississippi,24996,46417.0,ms
quitman county,mississippi,5935,25783.0,ms
rankin county,mississippi,158096,72326.0,ms
scott county,mississippi,27598,43022.0,ms
sharkey county,mississippi,3663,38977.0,ms
simpson county,mississippi,25750,43842.0,ms
smith county,mississippi,14191,51792.0,ms
stone county,mississippi,18644,50807.0,ms
sunflower county,mississippi,25402,32608.0,ms
tallahatchie county,mississippi,12366,31484.0,ms
tate county,mississippi,28234,54839.0,ms
tippah county,mississippi,21635,41506.0,ms
tishomingo county,mississippi,18750,40394.0,ms
tunica county,mississippi,9696,41176.0,ms
union county,mississippi,27953,50543.0,ms
walthall county,mississippi,13836,34605.0,ms
warren county,mississippi,43579,50686.0,ms
washington county,mississippi,43687,34399.0,ms
wayne county,mississippi,19709,34766.0,ms
webster county,mississippi,9983,53363.0,ms
wilkinson county,mississippi,8315,31412.0,ms
winston county,mississippi,17596,39725.0,ms
yalobusha county,mississippi,12415,44348.0,ms
yazoo county,mississippi,26373,40037.0,ms
adair county,missouri,25185,46639.0,mo
andrew county,missouri,18002,63769.0,mo
atchison county,missouri,5234,53867.0,mo
audrain county,missouri,24982,47178.0,mo
barry county,missouri,34712,49574.0,mo
barton county,missouri,11658,45113.0,mo
bates county,missouri,16105,52093.0,mo
benton county,missouri,19908,45533.0,mo
bollinger county,missouri,10556,51250.0,mo
boone county,missouri,185840,62653.0,mo
buchanan county,missouri,83853,54073.0,mo
butler county,missouri,42101,44842.0,mo
caldwell county,missouri,8897,54321.0,mo
callaway county,missouri,44638,63791.0,mo
camden county,missouri,43436,55717.0,mo
cape girardeau county,missouri,82113,59252.0,mo
carroll county,missouri,8376,54967.0,mo
carter county,missouri,5320,42378.0,mo
cass county,missouri,109638,76924.0,mo
cedar county,missouri,14496,41211.0,mo
chariton county,missouri,7356,56758.0,mo
christian county,missouri,91499,69212.0,mo
clark county,missouri,6736,45965.0,mo
clay county,missouri,255518,75596.0,mo
clinton county,missouri,21287,63876.0,mo
cole county,missouri,77205,64715.0,mo
cooper county,missouri,17115,55711.0,mo
crawford county,missouri,22807,46643.0,mo
dade county,missouri,7599,43661.0,mo
dallas county,missouri,17341,44948.0,mo
daviess county,missouri,8399,55750.0,mo
dekalb county,missouri,11098,59462.0,mo
dent county,missouri,14432,45700.0,mo
douglas county,missouri,11732,45125.0,mo
dunklin county,missouri,27717,42194.0,mo
franklin county,missouri,105231,65263.0,mo
gasconade county,missouri,14791,58956.0,mo
gentry county,missouri,6173,47746.0,mo
greene county,missouri,300865,50682.0,mo
grundy county,missouri,9720,49621.0,mo
harrison county,missouri,8164,45313.0,mo
henry county,missouri,22206,49682.0,mo
hickory county,missouri,8607,32132.0,mo
holt county,missouri,4226,52500.0,mo
howard county,missouri,10168,58596.0,mo
howell county,missouri,39975,43200.0,mo
iron county,missouri,9408,44717.0,mo
jackson county,missouri,716862,60800.0,mo
jasper county,missouri,123155,51876.0,mo
jefferson county,missouri,227771,71285.0,mo
johnson county,missouri,54150,59952.0,mo
knox county,missouri,3808,40814.0,mo
laclede county,missouri,36133,46968.0,mo
lafayette county,missouri,32817,70969.0,mo
lawrence county,missouri,38321,46923.0,mo
lewis county,missouri,10000,46250.0,mo
lincoln county,missouri,61586,76622.0,mo
linn county,missouri,11843,54245.0,mo
livingston county,missouri,14755,54309.0,mo
mcdonald county,missouri,23383,43086.0,mo
macon county,missouri,15183,48583.0,mo
madison county,missouri,12652,50529.0,mo
maries county,missouri,8406,50434.0,mo
marion county,missouri,28518,56213.0,mo
mercer county,missouri,3488,52105.0,mo
miller county,missouri,24909,47288.0,mo
mississippi county,missouri,12538,39127.0,mo
moniteau county,missouri,15484,58900.0,mo
monroe county,missouri,8712,46441.0,mo
montgomery county,missouri,11415,54390.0,mo
morgan county,missouri,21379,46078.0,mo
new madrid county,missouri,16035,42370.0,mo
newton county,missouri,59386,55820.0,mo
nodaway county,missouri,21160,47669.0,mo
oregon county,missouri,8631,35972.0,mo
osage county,missouri,13379,67088.0,mo
ozark county,missouri,8782,36402.0,mo
pemiscot county,missouri,15236,35865.0,mo
perry county,missouri,18922,56832.0,mo
pettis county,missouri,43188,51936.0,mo
phelps county,missouri,44937,48124.0,mo
pike county,missouri,17761,47382.0,mo
platte county,missouri,108569,85031.0,mo
polk county,missouri,32043,50890.0,mo
pulaski county,missouri,53816,59252.0,mo
putnam county,missouri,4712,46161.0,mo
ralls county,missouri,10361,58829.0,mo
randolph county,missouri,24760,51403.0,mo
ray county,missouri,23008,67643.0,mo
reynolds county,missouri,6087,41925.0,mo
ripley county,missouri,10617,36089.0,mo
st. charles county,missouri,409981,91792.0,mo
st. clair county,missouri,9376,40470.0,mo
ste. genevieve county,missouri,18588,62607.0,mo
st. francois county,missouri,67541,50015.0,mo
st. louis county,missouri,997187,72562.0,mo
saline county,missouri,23289,49705.0,mo
schuyler county,missouri,4025,49746.0,mo
scotland county,missouri,4693,48705.0,mo
scott county,missouri,37840,50556.0,mo
shannon county,missouri,7106,41176.0,mo
shelby county,missouri,5976,46178.0,mo
stoddard county,missouri,28479,46052.0,mo
stone county,missouri,31548,54320.0,mo
sullivan county,missouri,5934,46964.0,mo
taney county,missouri,56387,51031.0,mo
texas county,missouri,24987,37994.0,mo
vernon county,missouri,19595,49494.0,mo
warren county,missouri,36518,68350.0,mo
washington county,missouri,23502,44955.0,mo
wayne county,missouri,10914,42257.0,mo
webster county,missouri,39735,59325.0,mo
worth county,missouri,1983,41847.0,mo
wright county,missouri,18610,40179.0,mo
st. louis   county,missouri,293310,48751.0,mo
beaverhead county,montana,9524,51048.0,mt
big horn county,montana,12957,49640.0,mt
blaine county,montana,6980,50847.0,mt
broadwater county,montana,7288,60244.0,mt
carbon county,montana,10847,63178.0,mt
carter county,montana,1428,41447.0,mt
cascade county,montana,84511,56377.0,mt
chouteau county,montana,5916,48237.0,mt
custer county,montana,11916,55426.0,mt
daniels county,montana,1686,54722.0,mt
dawson county,montana,8904,57684.0,mt
deer lodge county,montana,9491,44809.0,mt
fallon county,montana,3017,83750.0,mt
fergus county,montana,11617,52941.0,mt
flathead county,montana,108454,63582.0,mt
gallatin county,montana,122713,76208.0,mt
garfield county,montana,1209,55000.0,mt
glacier county,montana,13785,39441.0,mt
golden valley county,montana,831,46607.0,mt
granite county,montana,3344,49077.0,mt
hill county,montana,16179,56840.0,mt
jefferson county,montana,12470,72500.0,mt
judith basin county,montana,2044,51691.0,mt
lake county,montana,32033,53154.0,mt
lewis and clark county,montana,72223,66486.0,mt
liberty county,montana,1946,46507.0,mt
lincoln county,montana,20525,41922.0,mt
mccone county,montana,1718,63365.0,mt
madison county,montana,8917,56410.0,mt
meagher county,montana,1964,51709.0,mt
mineral county,montana,4860,50750.0,mt
missoula county,montana,119533,61423.0,mt
musselshell county,montana,4896,51153.0,mt
park county,montana,17473,58510.0,mt
petroleum county,montana,519,54375.0,mt
phillips county,montana,4192,50789.0,mt
pondera county,montana,5994,55865.0,mt
powder river county,montana,1702,55833.0,mt
powell county,montana,6999,53111.0,mt
prairie county,montana,1091,44500.0,mt
ravalli county,montana,45959,59640.0,mt
richland county,montana,11283,62530.0,mt
roosevelt county,montana,10821,47182.0,mt
rosebud county,montana,8124,59339.0,mt
sanders county,montana,12959,46848.0,mt
sheridan county,montana,3527,58786.0,mt
silver bow county,montana,35411,50331.0,mt
stillwater county,montana,9044,72906.0,mt
sweet grass county,montana,3723,59238.0,mt
teton county,montana,6269,60431.0,mt
toole county,montana,5011,54137.0,mt
treasure county,montana,768,55313.0,mt
valley county,montana,7537,53667.0,mt
wheatland county,montana,2059,38893.0,mt
wibaux county,montana,934,49000.0,mt
yellowstone county,montana,167146,65656.0,mt
adams county,nebraska,31027,57783.0,ne
antelope county,nebraska,6279,55802.0,ne
arthur county,nebraska,439,59375.0,ne
banner county,nebraska,692,57917.0,ne
blaine county,nebraska,461,49464.0,ne
boone county,nebraska,5386,63668.0,ne
box butte county,nebraska,10604,63366.0,ne
boyd county,nebraska,1789,54464.0,ne
brown county,nebraska,2908,43942.0,ne
buffalo county,nebraska,50339,65810.0,ne
burt county,nebraska,6709,55769.0,ne
butler county,nebraska,8444,64837.0,ne
cass county,nebraska,27017,78251.0,ne
cedar county,nebraska,8330,69490.0,ne
chase county,nebraska,3826,55690.0,ne
cherry county,nebraska,5458,57719.0,ne
cheyenne county,nebraska,9529,53674.0,ne
clay county,nebraska,6078,70690.0,ne
colfax county,nebraska,10498,70381.0,ne
cuming county,nebraska,8984,63125.0,ne
custer county,nebraska,10460,57715.0,ne
dakota county,nebraska,21241,63053.0,ne
dawes county,nebraska,8148,51925.0,ne
dawson county,nebraska,23898,58402.0,ne
deuel county,nebraska,1865,50924.0,ne
dixon county,nebraska,5545,58849.0,ne
dodge county,nebraska,37103,60962.0,ne
douglas county,nebraska,585008,70683.0,ne
dundy county,nebraska,1635,53696.0,ne
fillmore county,nebraska,5546,66410.0,ne
franklin county,nebraska,2903,52400.0,ne
frontier county,nebraska,2555,59573.0,ne
furnas county,nebraska,4604,57284.0,ne
gage county,nebraska,21616,55000.0,ne
garden county,nebraska,1847,43478.0,ne
garfield county,nebraska,1839,57888.0,ne
gosper county,nebraska,1824,69886.0,ne
grant county,nebraska,579,56806.0,ne
greeley county,nebraska,2169,48472.0,ne
hall county,nebraska,61979,60720.0,ne
hamilton county,nebraska,9386,71211.0,ne
harlan county,nebraska,3091,59432.0,ne
hayes county,nebraska,843,51389.0,ne
hitchcock county,nebraska,2586,47025.0,ne
holt county,nebraska,10049,60592.0,ne
hooker county,nebraska,734,51333.0,ne
howard county,nebraska,6531,64167.0,ne
jefferson county,nebraska,7176,51587.0,ne
johnson county,nebraska,5316,53696.0,ne
kearney county,nebraska,6674,68606.0,ne
keith county,nebraska,8279,54303.0,ne
keya paha county,nebraska,787,54583.0,ne
