year,state,state_po,county,democrat,republican,other,winner,totalvotes
2020,north carolina,nc,jones,2197,3280,48,donald j trump,5525
2020,north carolina,nc,lee,12143,16469,396,donald j trump,29008
2020,north carolina,nc,lenoir,13605,14590,214,donald j trump,28409
2020,north carolina,nc,lincoln,13274,36341,602,donald j trump,50217
2020,north carolina,nc,mcdowell,5832,16883,288,donald j trump,23003
2020,north carolina,nc,macon,6230,14211,302,donald j trump,20743
2020,north carolina,nc,madison,4901,7979,196,donald j trump,13076
2020,north carolina,nc,martin,5911,6532,97,joseph r biden jr,12540
2020,north carolina,nc,mecklenburg,378107,179211,9735,joseph r biden jr,567053
2020,north carolina,nc,mitchell,1867,7090,84,donald j trump,9041
2020,north carolina,nc,montgomery,4327,8411,111,donald j trump,12849
2020,north carolina,nc,moore,20779,36764,796,donald j trump,58339
2020,north carolina,nc,nash,25947,25827,497,donald j trump,52271
2020,north carolina,nc,new hanover,66138,63331,2361,donald j trump,131830
2020,north carolina,nc,northampton,6069,3989,52,joseph r biden jr,10110
2020,north carolina,nc,onslow,24266,46078,1891,donald j trump,72235
2020,north carolina,nc,orange,63594,20176,1227,joseph r biden jr,84997
2020,north carolina,nc,pamlico,2713,4849,69,donald j trump,7631
2020,north carolina,nc,pasquotank,9832,9770,295,joseph r biden jr,19897
2020,north carolina,nc,pender,11723,21956,490,donald j trump,34169
2020,north carolina,nc,perquimans,2492,4903,89,donald j trump,7484
2020,north carolina,nc,person,8465,13184,245,donald j trump,21894
2020,north carolina,nc,pitt,47252,38982,1339,joseph r biden jr,87573
2020,north carolina,nc,polk,4518,7689,151,donald j trump,12358
2020,north carolina,nc,randolph,15618,56894,804,donald j trump,73316
2020,north carolina,nc,richmond,8754,11830,179,donald j trump,20763
2020,north carolina,nc,robeson,19020,27806,362,donald j trump,47188
2020,north carolina,nc,rockingham,15992,31301,516,donald j trump,47809
2020,north carolina,nc,rowan,23114,49297,997,donald j trump,73408
2020,north carolina,nc,rutherford,9135,24891,403,donald j trump,34429
2020,north carolina,nc,sampson,10966,17411,241,donald j trump,28618
