County,State_Abrev,Fully_Vaccinated,Boosters,FIPS_Code
lasalle county,il,55,39.9,
clay county,il,37,37.5,17025
perry county,il,48.2,36.6,17145
piatt county,il,57.8,45.7,17147
lawrence county,il,39.9,31.8,17101
cook county,il,67.2,38.3,17031
coles county,il,43.4,39.3,17029
schuyler county,il,48.7,41.4,17169
ogle county,il,54.8,42.7,17141
dupage county,il,73,43.4,17043
kendall county,il,63.7,34.7,17093
morgan county,il,52.2,40.3,17137
kankakee county,il,48.5,37.4,17091
miami county,in,39.8,27.2,18103
martin county,in,47.4,28.6,18101
johnson county,in,55.8,33.9,18081
clinton county,in,45.6,31.5,18023
lawrence county,in,47.2,35.0,18093
grant county,in,40,35.1,18053
wayne county,in,46.9,36.9,18177
noble county,in,36.9,32.1,18113
benton county,in,40,33.5,18007
newton county,in,30.2,33.1,18111
washington county,in,38.6,32.0,18175
vermillion county,in,44.8,35.5,18165
monroe county,in,56.7,39.7,18105
marion county,in,52.6,32.6,18097
cass county,in,43.2,32.3,18017
jackson county,in,50.5,32.2,18071
wabash county,in,39.7,36.0,18169
huntington county,in,48.2,35.5,18069
kosciusko county,in,38.9,32.7,18085
putnam county,in,40.9,31.4,18133
elkhart county,in,40.5,31.1,18039
warren county,in,43.5,32.8,18171
dekalb county,in,40.7,37.3,18033
perry county,in,54.5,39.2,18123
pulaski county,in,42.9,36.2,18131
blackford county,in,43.9,38.8,18009
spencer county,in,42.6,35.2,18147
crawford county,in,35.8,34.8,18025
harrison county,in,48.6,35.9,18061
switzerland county,in,29.6,35.4,18155
madison county,in,49.9,36.3,18095
ohio county,in,72.4,37.4,18115
fountain county,in,44.3,33.0,18045
union county,in,47.2,34.9,18161
vanderburgh county,in,55.1,37.6,18163
tippecanoe county,in,55,36.9,18157
shelby county,in,55,32.3,18145
lagrange county,in,21.8,33.3,18087
jefferson county,in,53.2,39.0,18077
steuben county,in,45.6,42.1,18151
whitley county,in,45.5,35.2,18183
porter county,in,54.1,38.4,18127
dearborn county,in,58.4,30.8,18029
decatur county,in,46.1,37.8,18031
jasper county,in,44.7,35.1,18073
delaware county,in,46.2,37.8,18035
boone county,in,67.6,38.1,18011
adams county,in,31.8,39.3,18001
sullivan county,in,47.5,36.3,18153
laporte county,in,53.3,35.7,18091
allen county,in,49.9,36.0,18003
jay county,in,36.7,40.2,18075
owen county,in,40.8,35.8,18119
lake county,in,53,34.5,18089
daviess county,in,31.8,31.3,18027
st. joseph county,in,55.7,35.7,18141
dubois county,in,54.9,38.8,18037
jennings county,in,38.2,32.4,18079
hendricks county,in,68.6,34.2,18063
warrick county,in,60.2,39.8,18173
fayette county,in,37.6,35.9,18041
carroll county,in,32.8,33.5,18015
rush county,in,44.9,39.1,18139
gibson county,in,44.7,34.9,18051
montgomery county,in,43.7,34.3,18107
fulton county,in,38.3,37.7,18049
brown county,in,48.1,40.8,18013
pike county,in,55.3,34.6,18125
randolph county,in,43.2,37.9,18135
hancock county,in,64.7,35.8,18059
marshall county,in,42.6,36.8,18099
franklin county,in,35.9,33.8,18047
scott county,in,42.1,37.1,18143
vigo county,in,47.9,33.9,18167
howard county,in,45.2,35.7,18067
clark county,in,57.5,32.4,18019
ripley county,in,45.8,38.5,18137
clay county,in,53.3,32.8,18021
parke county,in,38,33.4,18121
greene county,in,39.1,35.9,18055
starke county,in,35,36.2,18149
white county,in,52,36.2,18181
morgan county,in,51.3,32.4,18109
wells county,in,39.9,37.1,18179
henry county,in,49.9,35.7,18065
bartholomew county,in,56.4,38.5,18005
floyd county,in,54.6,36.9,18043
knox county,in,47.5,35.8,18083
orange county,in,53.3,35.1,18117
posey county,in,45.6,38.6,18129
tipton county,in,43.4,36.6,18159
hamilton county,in,68.2,40.6,18057
phillips county,ks,42,35.6,20147
thomas county,ks,39.8,38.8,20193
chautauqua county,ks,39.4,39.3,20019
miami county,ks,45.5,36.1,20121
harvey county,ks,44.2,39.2,20079
cherokee county,ks,43.3,26.9,20021
pawnee county,ks,51,43.4,20145
cheyenne county,ks,43.2,39.1,20023
rooks county,ks,46.2,36.0,20163
osage county,ks,48.5,38.6,20139
seward county,ks,42.8,18.3,20175
hamilton county,ks,38.7,28.6,20075
sumner county,ks,41.2,33.3,20191
wichita county,ks,48.6,36.2,20203
mitchell county,ks,51.4,44.1,20123
cowley county,ks,45.5,35.8,20035
scott county,ks,45.2,30.5,20171
sheridan county,ks,34.3,42.4,20179
bourbon county,ks,35.2,37.4,20011
greenwood county,ks,47.3,26.1,20073
labette county,ks,47.2,33.1,20099
osborne county,ks,40.8,43.3,20141
kearny county,ks,50.4,29.9,20093
republic county,ks,49.6,37.0,20157
wilson county,ks,41.2,34.7,20205
rice county,ks,41.7,33.7,20159
stafford county,ks,44.2,40.3,20185
douglas county,ks,58.6,40.5,20045
comanche county,ks,44.1,45.0,20033
nemaha county,ks,51.1,44.7,20131
rush county,ks,48.3,23.9,20165
smith county,ks,43.2,41.0,20183
grant county,ks,44.3,30.8,20067
geary county,ks,62.6,15.0,20061
rawlins county,ks,41.1,39.9,20153
atchison county,ks,43.4,35.9,20005
barton county,ks,40.9,36.5,20009
reno county,ks,47.4,27.6,20155
woodson county,ks,40.7,41.1,20207
morton county,ks,39.4,31.7,20129
kiowa county,ks,48.6,38.5,20097
neosho county,ks,26,43.3,20133
graham county,ks,69.3,31.6,20065
lane county,ks,40.8,44.6,20101
mcpherson county,ks,53.3,38.6,20113
norton county,ks,51.1,37.9,20137
allen county,ks,42.6,38.1,20001
lincoln county,ks,42.2,42.9,20105
wabaunsee county,ks,45.5,46.0,20197
trego county,ks,38.3,36.7,20195
crawford county,ks,45.1,35.8,20037
dickinson county,ks,50.6,28.1,20041
marion county,ks,46.7,41.1,20115
decatur county,ks,38.8,47.2,20039
finney county,ks,43,22.5,20055
pottawatomie county,ks,38.2,41.2,20149
saline county,ks,47.9,37.2,20169
russell county,ks,41.3,34.7,20167
anderson county,ks,40.9,34.7,20003
lyon county,ks,54.5,33.8,20111
stevens county,ks,35.5,30.8,20189
ellsworth county,ks,52.6,33.7,20053
chase county,ks,43.2,47.3,20017
haskell county,ks,36.9,34.5,20081
linn county,ks,33.8,36.2,20107
marshall county,ks,61.6,46.3,20117
greeley county,ks,49.8,41.1,20071
morris county,ks,53.9,45.6,20127
gove county,ks,46.1,40.2,20063
hodgeman county,ks,43.2,28.8,20083
shawnee county,ks,58.2,39.4,20177
jefferson county,ks,51.7,39.2,20087
wyandotte county,ks,52.5,24.2,20209
ellis county,ks,47.2,35.0,20051
elk county,ks,32.3,40.2,20049
washington county,ks,51.3,46.9,20201
barber county,ks,45.1,39.4,20007
harper county,ks,44.9,27.3,20077
brown county,ks,57.1,38.7,20013
riley county,ks,36.7,43.5,20161
coffey county,ks,50.8,33.1,20031
clark county,ks,44.2,39.3,20025
kingman county,ks,45.4,36.6,20095
butler county,ks,45.3,33.2,20015
franklin county,ks,48.5,34.2,20059
johnson county,ks,70.8,32.9,20091
gray county,ks,42.9,35.8,20069
cloud county,ks,45.6,37.0,20029
doniphan county,ks,45.8,27.7,20043
stanton county,ks,48.4,29.4,20187
wallace county,ks,36.4,37.8,20199
clay county,ks,55.2,39.5,20027
jewell county,ks,44.7,45.4,20089
montgomery county,ks,43.5,32.5,20125
edwards county,ks,46.3,39.7,20047
logan county,ks,45.2,37.9,20109
sherman county,ks,41.9,36.4,20181
ness county,ks,50.2,34.3,20135
meade county,ks,38.7,24.7,20119
pratt county,ks,46.6,38.7,20151
ford county,ks,41.2,26.7,20057
ottawa county,ks,39.2,34.4,20143
sedgwick county,ks,49.6,32.5,20173
leavenworth county,ks,57.2,25.6,20103
jackson county,ks,60.8,35.6,20085
hancock county,ky,56.4,39.1,21091
carroll county,ky,44,33.4,21041
bell county,ky,43.9,28.8,21013
henderson county,ky,48.4,33.8,21101
logan county,ky,48.5,35.5,21141
crittenden county,ky,39.5,31.7,21055
greenup county,ky,50,34.4,21089
barren county,ky,43.4,35.1,21009
ohio county,ky,38,35.6,21183
knox county,ky,34.8,28.3,21121
fulton county,ky,55.5,22.7,21075
kenton county,ky,57.4,35.0,21117
harrison county,ky,47.8,38.7,21097
wayne county,ky,39.5,33.4,21231
knott county,ky,46,37.8,21119
metcalfe county,ky,38.5,36.2,21169
magoffin county,ky,49,37.2,21153
hart county,ky,33.9,35.8,21099
clay county,ky,42,24.4,21051
livingston county,ky,47.1,33.4,21139
robertson county,ky,36.9,43.1,21201
bracken county,ky,44.9,36.8,21023
madison county,ky,45.7,33.7,21151
nelson county,ky,49.4,35.3,21179
mason county,ky,48.6,40.8,21161
fayette county,ky,63.2,38.2,21067
mclean county,ky,48.7,38.9,21149
allen county,ky,37.5,33.3,21003
cumberland county,ky,42.2,35.5,21057
jefferson county,ky,60.9,37.8,21111
whitley county,ky,42.3,27.4,21235
perry county,ky,59.1,33.3,21193
laurel county,ky,38.8,31.0,21125
webster county,ky,44.2,32.8,21233
rockcastle county,ky,38.1,35.2,21203
powell county,ky,49.8,34.5,21197
edmonson county,ky,33.1,36.6,21061
pendleton county,ky,41.9,37.4,21191
hardin county,ky,57.2,28.6,21093
breckinridge county,ky,41.2,38.5,21027
breathitt county,ky,49.4,32.8,21025
ballard county,ky,36.2,45.3,21007
graves county,ky,43,34.8,21083
anderson county,ky,52.5,35.2,21005
monroe county,ky,44,36.0,21171
grayson county,ky,48.8,36.1,21085
lewis county,ky,36.6,31.2,21135
carlisle county,ky,39.2,34.8,21039
jackson county,ky,34.6,32.9,21109
johnson county,ky,48.2,32.2,21115
woodford county,ky,63.4,41.0,21239
scott county,ky,53.2,35.8,21209
montgomery county,ky,44,37.0,21173
elliott county,ky,33.9,38.9,21063
spencer county,ky,28,60.1,21215
lee county,ky,47.7,34.9,21129
bourbon county,ky,54.2,36.4,21017
estill county,ky,49.1,35.3,21065
taylor county,ky,45.9,34.7,21217
simpson county,ky,47.9,34.4,21213
rowan county,ky,49.2,36.3,21205
grant county,ky,46.4,34.3,21081
green county,ky,41.3,35.9,21087
butler county,ky,42.7,34.9,21031
washington county,ky,48.7,36.6,21229
campbell county,ky,60.1,36.1,21037
menifee county,ky,42.6,38.7,21165
adair county,ky,37,34.9,21001
lawrence county,ky,46,34.2,21127
calloway county,ky,43.3,34.9,21035
pike county,ky,51,35.2,21195
fleming county,ky,49.1,37.2,21069
union county,ky,39.5,35.9,21225
marion county,ky,47.7,38.4,21155
caldwell county,ky,49,34.2,21033
trimble county,ky,41.3,29.0,21223
larue county,ky,41.7,34.3,21123
franklin county,ky,58.7,41.1,21073
wolfe county,ky,50.8,36.7,21237
shelby county,ky,44.7,35.9,21211
clinton county,ky,38.7,29.8,21053
daviess county,ky,51.6,39.8,21059
carter county,ky,46.6,35.0,21043
martin county,ky,52.4,21.8,21159
boyle county,ky,54.4,40.5,21021
mccracken county,ky,53,35.3,21145
lyon county,ky,56.7,42.9,21143
bath county,ky,50.7,36.0,21011
owen county,ky,36,37.6,21187
garrard county,ky,45.8,35.3,21079
meade county,ky,35.9,33.2,21163
christian county,ky,32.5,27.9,21047
letcher county,ky,51,38.4,21133
boyd county,ky,47,33.5,21019
casey county,ky,34.2,32.8,21045
warren county,ky,36.5,38.2,21227
leslie county,ky,49.6,31.4,21131
bullitt county,ky,42.8,33.6,21029
russell county,ky,43.9,37.4,21207
marshall county,ky,51.5,36.5,21157
floyd county,ky,55.1,33.9,21071
oldham county,ky,55,36.3,21185
boone county,ky,58.9,33.5,21015
henry county,ky,51,34.3,21103
clark county,ky,51.7,36.7,21049
gallatin county,ky,39.2,32.3,21077
lincoln county,ky,39.1,32.9,21137
todd county,ky,39.9,30.4,21219
muhlenberg county,ky,49,39.0,21177
jessamine county,ky,51.1,35.1,21113
mccreary county,ky,37.3,29.6,21147
hopkins county,ky,49.2,36.8,21107
nicholas county,ky,50.7,37.9,21181
trigg county,ky,45.1,37.1,21221
owsley county,ky,45.1,29.6,21189
morgan county,ky,46.4,30.5,21175
mercer county,ky,52.1,36.7,21167
hickman county,ky,35.4,33.6,21105
pulaski county,ky,43.8,33.9,21199
harlan county,ky,44.3,33.8,21095
st. bernard parish,la,45.9,26.7,22087
rapides parish,la,47,27.9,22079
jefferson parish,la,61.9,33.0,22051
st. landry parish,la,39.2,32.6,22097
east carroll parish,la,42.6,31.4,22035
livingston parish,la,37.8,26.3,22063
assumption parish,la,40.6,29.0,22007
bossier parish,la,46,25.2,22015
washington parish,la,39.6,30.7,22117
orleans parish,la,65.5,37.0,22071
bienville parish,la,45.6,31.3,22013
pointe coupee parish,la,52.7,35.7,22077
sabine parish,la,35.6,25.8,22085
terrebonne parish,la,42.7,26.0,22109
cameron parish,la,17.1,25.9,22023
ascension parish,la,48.1,28.8,22005
st. helena parish,la,29.3,33.5,22091
vermilion parish,la,36.1,30.1,22113
union parish,la,43.1,32.0,22111
tensas parish,la,59.6,28.7,22107
plaquemines parish,la,58.7,25.2,22075
east baton rouge parish,la,53.1,34.2,22033
acadia parish,la,50.3,27.4,22001
vernon parish,la,50.2,14.6,22115
iberia parish,la,44,30.6,22045
st. tammany parish,la,54.2,33.5,22103
lincoln parish,la,40.6,30.8,22061
beauregard parish,la,32.2,27.8,22011
west baton rouge parish,la,51.2,29.5,22121
st. mary parish,la,42.8,29.6,22101
jackson parish,la,39.8,27.5,22049
catahoula parish,la,38.7,27.2,22025
st. martin parish,la,38.4,29.0,22099
jefferson davis parish,la,35.1,29.6,22053
st. james parish,la,49.2,31.9,22093
west carroll parish,la,39.1,28.7,22123
lafayette parish,la,47.6,31.0,22055
ouachita parish,la,42.6,28.5,22073
richland parish,la,40.9,31.1,22083
caddo parish,la,45.8,32.0,22017
la salle parish,la,41.7,18.3,22059
madison parish,la,41.7,26.3,22065
de soto parish,la,40.5,27.7,22031
tangipahoa parish,la,43.7,28.8,22105
natchitoches parish,la,40.8,32.5,22069
calcasieu parish,la,40,26.1,22019
allen parish,la,34.2,25.8,22003
concordia parish,la,39.1,21.2,22029
avoyelles parish,la,43.5,29.5,22009
iberville parish,la,52.5,29.9,22047
grant parish,la,40.3,26.0,22043
st. charles parish,la,53.7,30.8,22089
st. john the baptist parish,la,56.1,28.7,22095
caldwell parish,la,36.8,32.9,22021
winn parish,la,42.9,22.3,22127
red river parish,la,34.5,26.3,22081
east feliciana parish,la,38.3,34.0,22037
webster parish,la,40.8,30.9,22119
franklin parish,la,35.1,28.8,22041
morehouse parish,la,43,32.0,22067
west feliciana parish,la,85,42.8,22125
evangeline parish,la,36.4,28.7,22039
claiborne parish,la,39.6,30.0,22027
lafourche parish,la,42.5,28.7,22057
norfolk county,ma,75.2,43.8,25021
plymouth county,ma,65.9,39.7,25023
dukes county,ma,,,25007
nantucket county,ma,,,25019
hampshire county,ma,64,48.6,25015
worcester county,ma,66,37.6,25027
barnstable county,ma,,,25001
franklin county,ma,65.1,44.9,25011
berkshire county,ma,55.6,50.3,25003
hampden county,ma,61.7,34.7,25013
suffolk county,ma,68.9,36.0,25025
bristol county,ma,61.6,33.2,25005
essex county,ma,70,38.4,25009
middlesex county,ma,76.1,42.6,25017
frederick county,md,72.3,40.0,24021
anne arundel county,md,73.1,37.4,24003
dorchester county,md,55.2,40.0,24019
somerset county,md,47.3,36.6,24039
howard county,md,80.4,46.1,24027
washington county,md,55.9,39.1,24043
harford county,md,66.3,37.7,24025
garrett county,md,47.8,41.8,24023
queen anne's county,md,62.9,41.1,24035
prince george's county,md,68,30.0,24033
caroline county,md,53.9,37.4,24011
worcester county,md,68.1,41.7,24047
cecil county,md,54.7,30.0,24015
calvert county,md,66.2,41.7,24009
charles county,md,63,32.7,24017
wicomico county,md,52.2,37.0,24045
baltimore city,md,60,37.6,24510
montgomery county,md,83.3,40.6,24031
kent county,md,64.4,48.3,24029
baltimore county,md,67.3,39.6,24005
talbot county,md,69.8,50.2,24041
allegany county,md,53.4,38.5,24001
carroll county,md,70,43.8,24013
st. mary's county,md,64.5,35.1,24037
piscataquis county,me,59.3,44.4,23021
oxford county,me,65,42.0,23017
knox county,me,80.4,51.9,23013
somerset county,me,58.9,42.8,23025
cumberland county,me,84.3,48.6,23005
waldo county,me,68.1,45.5,23027
aroostook county,me,66.1,48.1,23003
washington county,me,69,45.1,23029
androscoggin county,me,66.4,40.7,23001
sagadahoc county,me,76.1,48.1,23023
york county,me,77.7,40.9,23031
lincoln county,me,78.1,52.0,23015
penobscot county,me,68.2,42.3,23019
franklin county,me,61.2,47.3,23007
kennebec county,me,68.4,43.6,23011
hancock county,me,73.6,50.6,23009
jackson county,mi,50.1,42.8,26075
isabella county,mi,42.6,43.2,26073
newaygo county,mi,42.7,44.7,26123
baraga county,mi,58,38.7,26013
ontonagon county,mi,67.5,52.5,26131
oakland county,mi,63.4,42.7,26125
cheboygan county,mi,53.8,46.2,26031
missaukee county,mi,46.6,45.1,26113
shiawassee county,mi,49.2,46.9,26155
alcona county,mi,56.4,44.8,26001
berrien county,mi,53.2,39.5,26021
keweenaw county,mi,56.7,48.5,26083
gogebic county,mi,63.9,45.2,26053
manistee county,mi,57.7,52.4,26101
lapeer county,mi,45.3,42.8,26087
menominee county,mi,68.7,34.8,26109
mason county,mi,58.1,52.1,26105
emmet county,mi,70.1,47.5,26047
luce county,mi,43,46.0,26095
marquette county,mi,61.5,45.2,26103
van buren county,mi,54,43.6,26159
roscommon county,mi,54.4,52.6,26143
cass county,mi,41.2,33.6,26027
arenac county,mi,49.6,47.6,26011
wexford county,mi,49.3,47.4,26165
oceana county,mi,51.8,45.2,26127
iron county,mi,54.7,41.7,26071
washtenaw county,mi,68.3,44.0,26161
barry county,mi,46.5,47.4,26015
kalkaska county,mi,45.1,44.5,26079
livingston county,mi,57.8,42.6,26093
gladwin county,mi,46.1,47.9,26051
chippewa county,mi,66.8,39.4,26033
clinton county,mi,54.4,49.8,26037
st. joseph county,mi,43.2,41.3,26149
saginaw county,mi,50.4,45.3,26145
mecosta county,mi,39.9,47.4,26107
lake county,mi,56.4,38.1,26085
kent county,mi,58.1,43.9,26081
eaton county,mi,54.4,47.3,26045
montcalm county,mi,40.4,44.0,26117
gratiot county,mi,44,45.0,26057
crawford county,mi,49.2,47.7,26039
houghton county,mi,49.9,41.3,26061
macomb county,mi,54.3,38.7,26099
antrim county,mi,56,49.2,26009
benzie county,mi,64.7,47.5,26019
mackinac county,mi,72.4,42.3,26097
st. clair county,mi,47.7,39.5,26147
clare county,mi,44.5,46.8,26035
ionia county,mi,44.8,44.2,26067
midland county,mi,56.5,45.0,26111
sanilac county,mi,41.1,46.0,26151
oscoda county,mi,40.6,44.9,26135
leelanau county,mi,79.8,48.6,26089
alpena county,mi,53.2,46.7,26007
ottawa county,mi,54.8,46.7,26139
montmorency county,mi,52.7,47.8,26119
lenawee county,mi,50.4,40.0,26091
alger county,mi,60.6,48.0,26003
presque isle county,mi,58.1,51.7,26141
ingham county,mi,54.5,46.7,26065
genesee county,mi,47.9,43.5,26049
hillsdale county,mi,36.7,42.2,26059
bay county,mi,54.8,45.8,26017
ogemaw county,mi,43.4,44.6,26129
monroe county,mi,53.9,36.1,26115
osceola county,mi,40.2,47.2,26133
otsego county,mi,53.3,47.2,26137
kalamazoo county,mi,58.4,47.5,26077
calhoun county,mi,49.6,41.1,26025
charlevoix county,mi,62.2,49.4,26029
huron county,mi,52.2,50.9,26063
grand traverse county,mi,64.7,49.6,26055
wayne county,mi,50.8,35.3,26163
delta county,mi,59.8,42.1,26041
branch county,mi,42.9,41.8,26023
tuscola county,mi,44.2,46.3,26157
muskegon county,mi,52.3,46.2,26121
schoolcraft county,mi,54,47.7,26153
allegan county,mi,49.6,46.3,26005
iosco county,mi,54.5,43.7,26069
dickinson county,mi,64.8,35.1,26043
st. louis county,mn,64.2,52.3,27137
beltrami county,mn,62.2,39.8,27007
clay county,mn,56.3,30.8,27027
aitkin county,mn,57.1,55.7,27001
kanabec county,mn,40.6,56.9,27065
wadena county,mn,47.6,45.3,27159
otter tail county,mn,48.4,54.5,27111
goodhue county,mn,63.7,51.5,27049
martin county,mn,53.3,51.6,27091
dakota county,mn,65.8,48.2,27037
douglas county,mn,55,53.5,27041
norman county,mn,58,43.3,27107
polk county,mn,55.3,36.1,27119
koochiching county,mn,56.5,54.0,27071
le sueur county,mn,46.3,59.1,27079
lyon county,mn,54,41.5,27083
sibley county,mn,46.7,50.1,27143
renville county,mn,52.4,45.5,27129
olmsted county,mn,73.6,57.0,27109
pope county,mn,54.3,52.8,27121
jackson county,mn,48.8,48.7,27063
marshall county,mn,48.5,39.1,27089
pine county,mn,46.6,47.9,27115
faribault county,mn,55.3,47.7,27043
clearwater county,mn,40.2,44.1,27029
nicollet county,mn,60.1,51.9,27103
wabasha county,mn,70.2,46.5,27157
brown county,mn,63.4,49.5,27015
sherburne county,mn,43.1,44.8,27141
nobles county,mn,58.2,39.7,27105
isanti county,mn,40.6,45.7,27059
anoka county,mn,55.5,45.3,27003
lake of the woods county,mn,53.2,48.5,27077
meeker county,mn,45.5,48.9,27093
waseca county,mn,54.5,48.6,27161
big stone county,mn,60.4,47.8,27011
mcleod county,mn,54.9,43.4,27085
itasca county,mn,54.3,53.9,27061
pipestone county,mn,52.2,46.3,27117
mower county,mn,59.1,45.6,27099
hubbard county,mn,45.5,55.2,27057
washington county,mn,66.7,49.7,27163
grant county,mn,52.5,47.5,27051
scott county,mn,65.8,42.3,27139
watonwan county,mn,55.3,46.5,27165
cottonwood county,mn,53.5,47.4,27033
blue earth county,mn,58,45.8,27013
stearns county,mn,55.5,41.4,27145
traverse county,mn,60.6,44.5,27155
chippewa county,mn,50.3,54.1,27023
steele county,mn,58.1,50.2,27147
rice county,mn,60.3,44.9,27131
yellow medicine county,mn,54.6,45.0,27173
rock county,mn,51.9,40.5,27133
todd county,mn,40.5,49.2,27153
freeborn county,mn,54.6,50.3,27047
pennington county,mn,51.4,44.1,27113
cook county,mn,78,53.0,27031
roseau county,mn,49.4,40.7,27135
lake county,mn,64.6,56.0,27075
wright county,mn,51.7,40.6,27171
mahnomen county,mn,56.5,40.2,27087
swift county,mn,55.3,50.2,27151
carver county,mn,63.9,48.4,27019
houston county,mn,57.5,23.2,27055
cass county,mn,53.6,51.7,27021
benton county,mn,40.3,50.6,27009
winona county,mn,62.2,45.6,27169
hennepin county,mn,70.5,47.7,27053
kittson county,mn,56.3,45.7,27069
lac qui parle county,mn,56.6,54.8,27073
stevens county,mn,55.2,45.4,27149
crow wing county,mn,54.3,51.5,27035
wilkin county,mn,52.4,31.0,27167
dodge county,mn,57.9,48.3,27039
lincoln county,mn,51.3,50.0,27081
ramsey county,mn,67.4,45.7,27123
becker county,mn,52,47.6,27005
murray county,mn,52.5,53.0,27101
kandiyohi county,mn,51.1,48.8,27067
morrison county,mn,46.2,48.6,27097
fillmore county,mn,66,42.4,27045
carlton county,mn,61.6,51.8,27017
mille lacs county,mn,54.8,38.2,27095
chisago county,mn,54.5,42.8,27025
red lake county,mn,54.3,37.8,27125
redwood county,mn,51.7,47.9,27127
atchison county,mo,53.5,35.1,29005
scott county,mo,41.8,24.5,29201
linn county,mo,43.8,31.2,29115
dunklin county,mo,35.2,23.6,29069
camden county,mo,42.8,38.5,29029
grundy county,mo,33.7,34.9,29079
st. charles county,mo,58.6,37.1,29183
boone county,mo,58.4,34.4,29019
perry county,mo,38.1,33.4,29157
nodaway county,mo,46.5,36.8,29147
madison county,mo,37.1,33.4,29123
jackson county,mo,53.6,32.5,29095
daviess county,mo,31,37.9,29061
wayne county,mo,34.7,26.4,29223
st. clair county,mo,33.1,39.3,29185
moniteau county,mo,34.5,35.7,29135
jasper county,mo,45.2,28.1,29097
ralls county,mo,27.2,51.3,29173
mississippi county,mo,41.4,29.2,29133
clark county,mo,29.1,35.2,29045
lewis county,mo,32.7,30.3,29111
webster county,mo,40.8,27.7,29225
clinton county,mo,45.3,35.0,29049
schuyler county,mo,27.1,46.9,29197
oregon county,mo,29.8,31.5,29149
dade county,mo,42,33.8,29057
lincoln county,mo,37.3,32.9,29113
henry county,mo,43.8,36.1,29083
ray county,mo,38.2,38.1,29177
wright county,mo,34.5,30.4,29229
audrain county,mo,36,30.6,29007
greene county,mo,47.1,36.7,29077
dallas county,mo,33.6,33.7,29059
cass county,mo,48.8,35.0,29037
cooper county,mo,41.6,35.4,29053
callaway county,mo,44.8,34.5,29027
gasconade county,mo,49.5,33.6,29073
shannon county,mo,29.3,35.6,29203
st. louis county,mo,60.6,38.7,29189
randolph county,mo,36,31.0,29175
crawford county,mo,31.4,34.9,29055
stone county,mo,36.4,41.8,29209
pike county,mo,36.1,30.7,29163
dent county,mo,30.1,31.6,29065
chariton county,mo,36.2,41.6,29041
franklin county,mo,52.3,34.3,29071
carroll county,mo,47.5,33.6,29033
iron county,mo,37.1,29.3,29093
montgomery county,mo,46.9,30.1,29139
shelby county,mo,45.3,38.4,29205
macon county,mo,38.4,37.7,29121
washington county,mo,30.1,27.8,29221
andrew county,mo,35.2,43.3,29003
bollinger county,mo,31.7,29.0,29017
pemiscot county,mo,29.4,14.3,29155
morgan county,mo,35.7,31.7,29141
butler county,mo,32.7,27.0,29023
ripley county,mo,27.8,29.0,29181
caldwell county,mo,37.5,35.7,29025
ste. genevieve county,mo,43.4,38.9,29186
ozark county,mo,30,31.8,29153
putnam county,mo,32,43.6,29171
taney county,mo,38.9,29.0,29213
newton county,mo,24.6,42.5,29145
hickory county,mo,37,42.9,29085
carter county,mo,31.2,29.6,29035
barry county,mo,42.4,30.1,29009
reynolds county,mo,25.2,37.3,29179
laclede county,mo,35.1,27.7,29105
warren county,mo,40.1,36.5,29219
maries county,mo,36.6,33.5,29125
johnson county,mo,38.8,28.9,29101
douglas county,mo,23.3,33.0,29067
dekalb county,mo,27,34.6,29063
new madrid county,mo,31.9,32.0,29143
mercer county,mo,33.6,35.5,29129
texas county,mo,31.1,29.8,29215
phelps county,mo,41.8,33.8,29161
monroe county,mo,42.3,34.7,29137
lawrence county,mo,36.5,29.5,29109
polk county,mo,37.5,34.4,29167
clay county,mo,51,39.7,29047
scotland county,mo,25.3,42.1,29199
miller county,mo,31.6,32.2,29131
holt county,mo,39.8,37.4,29087
knox county,mo,38.2,42.8,29103
osage county,mo,38.2,37.6,29151
pettis county,mo,40.6,31.4,29159
barton county,mo,32,30.4,29011
benton county,mo,45.4,36.8,29015
vernon county,mo,33.6,34.2,29217
saline county,mo,44.7,30.1,29195
lafayette county,mo,43.8,36.1,29107
adair county,mo,43.1,38.1,29001
gentry county,mo,41.6,35.7,29075
livingston county,mo,41.8,36.0,29117
st. louis city,mo,54.9,33.5,29510
st. francois county,mo,41.6,30.1,29187
cedar county,mo,30.9,39.1,29039
sullivan county,mo,41,30.8,29211
cape girardeau county,mo,46.3,32.5,29031
jefferson county,mo,42.3,35.3,29099
harrison county,mo,32.4,34.9,29081
worth county,mo,39,37.2,29227
cole county,mo,50.5,34.5,29051
christian county,mo,43.9,31.4,29043
buchanan county,mo,36.7,33.7,29021
pulaski county,mo,57.4,9.3,29169
platte county,mo,53.6,40.0,29165
bates county,mo,37.2,35.2,29013
stoddard county,mo,38.1,27.9,29207
marion county,mo,40,35.6,29127
howell county,mo,31.6,33.0,29091
howard county,mo,41.6,37.5,29089
mcdonald county,mo,30.7,21.1,29119
jasper county,ms,46.7,24.0,28061
bolivar county,ms,55,23.6,28011
montgomery county,ms,52.5,23.7,28097
lafayette county,ms,52.2,28.8,28071
noxubee county,ms,52.3,30.0,28103
panola county,ms,44.3,23.8,28107
forrest county,ms,39.3,23.9,28035
webster county,ms,45.7,25.3,28155
tippah county,ms,39.5,25.5,28139
leake county,ms,44.8,22.9,28079
humphreys county,ms,54.1,21.3,28053
neshoba county,ms,38.2,24.5,28099
pike county,ms,46.7,25.2,28113
coahoma county,ms,47.6,24.1,28027
