County,State_Abrev,Fully_Vaccinated,Boosters,FIPS_Code
maricopa county,az,53.6,29.4,4013
apache county,az,88.8,36.3,4001
pima county,az,64,33.7,4019
la paz county,az,46.2,22.6,4012
coconino county,az,73.2,34.8,4005
mohave county,az,39.3,30.9,4015
modoc county,ca,0,0.0,6049
el dorado county,ca,59.8,38.9,6017
lassen county,ca,36,25.4,6035
shasta county,ca,47.2,32.0,6089
fresno county,ca,56.8,29.7,6019
alameda county,ca,77.2,41.1,6001
santa clara county,ca,81.6,44.1,6085
butte county,ca,50.4,35.6,6007
stanislaus county,ca,55.8,16.7,6099
solano county,ca,62.2,32.6,6095
monterey county,ca,65.3,32.4,6053
amador county,ca,52.5,24.2,6005
mono county,ca,0,0.0,6051
tulare county,ca,48.9,27.6,6107
kern county,ca,48.9,26.5,6029
riverside county,ca,54.6,29.9,6065
plumas county,ca,0,0.0,6063
placer county,ca,63.6,40.1,6061
mendocino county,ca,63.8,35.1,6045
trinity county,ca,0,0.0,6105
contra costa county,ca,77.1,41.2,6013
sacramento county,ca,62.9,35.4,6067
humboldt county,ca,62.4,38.8,6023
lake county,ca,55.8,28.9,6033
madera county,ca,49.7,28.8,6039
santa cruz county,ca,74.2,37.4,6087
calaveras county,ca,60.4,22.0,6009
del norte county,ca,40.3,36.5,6015
san francisco county,ca,80.2,50.3,6075
yuba county,ca,48.2,23.1,6115
san mateo county,ca,78.9,46.3,6081
los angeles county,ca,67.3,35.2,6037
nevada county,ca,60.7,41.0,6057
san luis obispo county,ca,57.2,44.6,6079
san joaquin county,ca,58.6,17.7,6077
ventura county,ca,67.2,35.3,6111
sutter county,ca,55.8,27.7,6101
merced county,ca,48.4,19.1,6047
orange county,ca,67.6,38.5,6059
sierra county,ca,0,0.0,6091
san bernardino county,ca,53.1,27.9,6071
mariposa county,ca,0,0.0,6043
marin county,ca,84.6,49.0,6041
santa barbara county,ca,66,34.6,6083
napa county,ca,72.5,38.9,6055
glenn county,ca,51.3,29.0,6021
inyo county,ca,0,0.0,6027
alpine county,ca,0,0.0,6003
san benito county,ca,60.9,32.0,6069
imperial county,ca,78.4,23.1,6025
tuolumne county,ca,57,23.4,6109
yolo county,ca,65.8,37.7,6113
siskiyou county,ca,51,34.1,6093
kings county,ca,42.9,25.3,6031
san diego county,ca,57,7.6,6073
tehama county,ca,39.4,31.6,6103
colusa county,ca,55.6,20.7,6011
sonoma county,ca,73.4,42.4,6097
yuma county,co,41.5,36.3,8125
gunnison county,co,66.9,46.3,8051
cheyenne county,co,31.8,34.5,8017
denver county,co,72.3,42.4,8031
weld county,co,57.4,36.8,8123
kit carson county,co,36.8,35.7,8063
summit county,co,80.8,35.9,8117
pueblo county,co,53.8,42.4,8101
el paso county,co,59.3,34.0,8041
jackson county,co,43.5,47.9,8057
chaffee county,co,62,53.2,8015
delta county,co,45.8,45.3,8029
conejos county,co,46.4,40.5,8021
grand county,co,60.8,44.5,8049
saguache county,co,34.1,47.8,8109
montrose county,co,46,43.9,8085
hinsdale county,co,61.3,50.5,8053
park county,co,45.5,44.9,8093
pitkin county,co,79.1,38.4,8097
eagle county,co,78.5,35.3,8037
archuleta county,co,55.5,49.3,8007
morgan county,co,45.2,32.4,8087
costilla county,co,58.2,49.4,8023
otero county,co,46.3,42.2,8089
ouray county,co,63.1,57.2,8091
lake county,co,57.2,38.9,8065
las animas county,co,59,44.5,8071
elbert county,co,35.7,40.7,8039
san miguel county,co,79.9,47.4,8113
jefferson county,co,74.7,45.7,8059
bent county,co,25.2,49.4,8011
washington county,co,29.5,38.9,8121
teller county,co,51.9,46.4,8119
moffat county,co,41.5,34.1,8081
gilpin county,co,56.3,48.1,8047
rio blanco county,co,36.9,37.0,8103
baca county,co,38.2,41.0,8009
