County,State,Population,Income,State_Abrev,FIPS_Code
morris county,texas,12030,46468.0,tx,48343
motley county,texas,1067,59286.0,tx,48345
nacogdoches county,texas,64668,47306.0,tx,48347
navarro county,texas,53591,50466.0,tx,48349
newton county,texas,12241,38116.0,tx,48351
nolan county,texas,14597,44700.0,tx,48353
nueces county,texas,353079,59477.0,tx,48355
ochiltree county,texas,9782,57413.0,tx,48357
oldham county,texas,1717,68077.0,tx,48359
orange county,texas,84742,68756.0,tx,48361
palo pinto county,texas,28686,59796.0,tx,48363
panola county,texas,22675,54853.0,tx,48365
parker county,texas,156764,88535.0,tx,48367
parmer county,texas,9813,62885.0,tx,48369
pecos county,texas,15118,55652.0,tx,48371
polk county,texas,51899,52826.0,tx,48373
potter county,texas,116547,45096.0,tx,48375
presidio county,texas,6140,26395.0,tx,48377
rains county,texas,12509,55758.0,tx,48379
randall county,texas,143854,70544.0,tx,48381
reagan county,texas,3253,62829.0,tx,48383
real county,texas,2826,44083.0,tx,48385
red river county,texas,11555,40674.0,tx,48387
reeves county,texas,14487,53548.0,tx,48389
refugio county,texas,6756,50745.0,tx,48391
roberts county,texas,797,62717.0,tx,48393
robertson county,texas,16958,55709.0,tx,48395
rockwall county,texas,116381,111595.0,tx,48397
runnels county,texas,9943,52103.0,tx,48399
rusk county,texas,52743,60330.0,tx,48401
sabine county,texas,10039,41308.0,tx,48403
san augustine county,texas,7922,43130.0,tx,48405
san jacinto county,texas,27878,46678.0,tx,48407
san patricio county,texas,69699,59532.0,tx,48409
san saba county,texas,5827,46927.0,tx,48411
schleicher county,texas,2429,61094.0,tx,48413
scurry county,texas,16824,53376.0,tx,48415
shackelford county,texas,3212,54896.0,tx,48417
shelby county,texas,23939,44504.0,tx,48419
sherman county,texas,2798,55667.0,tx,48421
smith county,texas,237186,62518.0,tx,48423
somervell county,texas,9469,89253.0,tx,48425
starr county,texas,66049,33334.0,tx,48427
stephens county,texas,9173,46537.0,tx,48429
sterling county,texas,1381,55481.0,tx,48431
stonewall county,texas,1217,62273.0,tx,48433
sutton county,texas,3319,61538.0,tx,48435
swisher county,texas,7008,39685.0,tx,48437
tarrant county,texas,2126477,73545.0,tx,48439
taylor county,texas,143326,57811.0,tx,48441
terrell county,texas,724,47012.0,tx,48443
terry county,texas,11754,47734.0,tx,48445
throckmorton county,texas,1495,47500.0,tx,48447
titus county,texas,31183,53818.0,tx,48449
tom green county,texas,119411,62052.0,tx,48451
travis county,texas,1305154,85043.0,tx,48453
trinity county,texas,13827,45392.0,tx,48455
tyler county,texas,20077,49130.0,tx,48457
upshur county,texas,41774,55046.0,tx,48459
upton county,texas,3265,58333.0,tx,48461
uvalde county,texas,24729,51602.0,tx,48463
val verde county,texas,47564,51949.0,tx,48465
van zandt county,texas,61275,61121.0,tx,48467
victoria county,texas,90964,60598.0,tx,48469
walker county,texas,77977,44104.0,tx,48471
waller county,texas,59781,65379.0,tx,48473
ward county,texas,11194,66216.0,tx,48475
washington county,texas,35891,65913.0,tx,48477
webb county,texas,267945,54618.0,tx,48479
wharton county,texas,41721,53963.0,tx,48481
wheeler county,texas,4927,52138.0,tx,48483
wichita county,texas,130069,53272.0,tx,48485
wilbarger county,texas,12731,45262.0,tx,48487
willacy county,texas,20316,39401.0,tx,48489
williamson county,texas,643026,94705.0,tx,48491
wilson county,texas,51257,84042.0,tx,48493
winkler county,texas,7415,67904.0,tx,48495
wise county,texas,71714,75482.0,tx,48497
wood county,texas,45875,58418.0,tx,48499
yoakum county,texas,7607,73102.0,tx,48501
young county,texas,17977,52074.0,tx,48503
zapata county,texas,13908,34406.0,tx,48505
zavala county,texas,9534,44573.0,tx,48507
beaver county,utah,7249,74569.0,ut,49001
box elder county,utah,59688,67486.0,ut,49003
cache county,utah,137417,65670.0,ut,49005
carbon county,utah,20372,51725.0,ut,49007
daggett county,utah,976,49792.0,ut,49009
davis county,utah,367285,92765.0,ut,49011
duchesne county,utah,19790,66463.0,ut,49013
emery county,utah,9967,61234.0,ut,49015
garfield county,utah,5129,45724.0,ut,49017
grand county,utah,9663,51433.0,ut,49019
iron county,utah,60519,56308.0,ut,49021
juab county,utah,12155,74741.0,ut,49023
kane county,utah,7992,56395.0,ut,49025
millard county,utah,13164,66304.0,ut,49027
morgan county,utah,12657,112721.0,ut,49029
piute county,utah,1487,33611.0,ut,49031
rich county,utah,2597,67396.0,ut,49033
salt lake county,utah,1186421,82206.0,ut,49035
san juan county,utah,14489,52400.0,ut,49037
sanpete county,utah,29106,60186.0,ut,49039
sevier county,utah,21906,60262.0,ut,49041
summit county,utah,43093,116351.0,ut,49043
tooele county,utah,76640,87557.0,ut,49045
uintah county,utah,36204,61293.0,ut,49047
utah county,utah,684986,82893.0,ut,49049
wasatch county,utah,36173,94044.0,ut,49051
washington county,utah,191226,65040.0,ut,49053
wayne county,utah,2558,55605.0,ut,49055
weber county,utah,267066,74345.0,ut,49057
addison county,vermont,37260,77978.0,vt,50001
bennington county,vermont,37312,63448.0,vt,50003
caledonia county,vermont,30403,55159.0,vt,50005
chittenden county,vermont,168865,81957.0,vt,50007
essex county,vermont,5925,48194.0,vt,50009
franklin county,vermont,50325,68476.0,vt,50011
grand isle county,vermont,7421,85154.0,vt,50013
lamoille county,vermont,26126,66016.0,vt,50015
orange county,vermont,29541,67906.0,vt,50017
orleans county,vermont,27546,58037.0,vt,50019
rutland county,vermont,60591,59751.0,vt,50021
washington county,vermont,59969,70128.0,vt,50023
windham county,vermont,46090,59195.0,vt,50025
windsor county,vermont,58196,63787.0,vt,50027
accomack county,virginia,33246,50601.0,va,51001
albemarle county,virginia,113535,90568.0,va,51003
alleghany county,virginia,14986,49705.0,va,51005
amelia county,virginia,13268,57420.0,va,51007
amherst county,virginia,31273,60876.0,va,51009
appomattox county,virginia,16353,55268.0,va,51011
arlington county,virginia,232965,128145.0,va,51013
augusta county,virginia,77563,69082.0,va,51015
bath county,virginia,4114,55807.0,va,51017
bedford county,virginia,80131,70870.0,va,51019
bland county,virginia,6173,54556.0,va,51021
botetourt county,virginia,33866,72941.0,va,51023
brunswick county,virginia,15940,49597.0,va,51025
buchanan county,virginia,19816,37093.0,va,51027
buckingham county,virginia,16947,49841.0,va,51029
campbell county,virginia,55492,53918.0,va,51031
caroline county,virginia,31332,76528.0,va,51033
carroll county,virginia,29048,45220.0,va,51035
charles city county,virginia,6594,59543.0,va,51036
charlotte county,virginia,11448,45567.0,va,51037
chesterfield county,virginia,370688,88315.0,va,51041
clarke county,virginia,14881,86633.0,va,51043
craig county,virginia,4865,60283.0,va,51045
culpeper county,virginia,53596,85274.0,va,51047
cumberland county,virginia,9681,57568.0,va,51049
dickenson county,virginia,13787,33905.0,va,51051
dinwiddie county,virginia,27912,68918.0,va,51053
essex county,virginia,10573,54375.0,va,51057
fairfax county,virginia,1139720,133974.0,va,51059
fauquier county,virginia,73815,111368.0,va,51061
floyd county,virginia,15566,51612.0,va,51063
fluvanna county,virginia,27723,82983.0,va,51065
franklin county,virginia,54938,59667.0,va,51067
frederick county,virginia,93717,84317.0,va,51069
giles county,virginia,16562,57911.0,va,51071
gloucester county,virginia,39069,77733.0,va,51073
goochland county,virginia,25488,100517.0,va,51075
grayson county,virginia,15359,43022.0,va,51077
greene county,virginia,20968,73844.0,va,51079
greensville county,virginia,11437,53063.0,va,51081
halifax county,virginia,33738,45962.0,va,51083
hanover county,virginia,111603,96911.0,va,51085
henrico county,virginia,333554,76345.0,va,51087
henry county,virginia,50248,41103.0,va,51089
highland county,virginia,2226,52901.0,va,51091
isle of wight county,virginia,39278,84673.0,va,51093
james city county,virginia,79882,94907.0,va,51095
king and queen county,virginia,6662,61672.0,va,51097
king george county,virginia,27489,101599.0,va,51099
king william county,virginia,18171,74592.0,va,51101
lancaster county,virginia,10928,64460.0,va,51103
lee county,virginia,21983,37574.0,va,51105
loudoun county,virginia,427592,156821.0,va,51107
louisa county,virginia,38848,70974.0,va,51109
lunenburg county,virginia,11926,47269.0,va,51111
madison county,virginia,13942,72349.0,va,51113
mathews county,virginia,8546,73229.0,va,51115
mecklenburg county,virginia,30248,46378.0,va,51117
middlesex county,virginia,10781,63782.0,va,51119
montgomery county,virginia,98473,60666.0,va,51121
nelson county,virginia,14790,67707.0,va,51125
new kent county,virginia,23897,101628.0,va,51127
northampton county,virginia,12085,50347.0,va,51131
northumberland county,virginia,12029,61291.0,va,51133
nottoway county,virginia,15594,54614.0,va,51135
orange county,virginia,37188,79211.0,va,51137
page county,virginia,23807,53168.0,va,51139
patrick county,virginia,17602,47215.0,va,51141
pittsylvania county,virginia,59972,49486.0,va,51143
powhatan county,virginia,31136,101395.0,va,51145
prince edward county,virginia,21932,49019.0,va,51147
prince george county,virginia,42880,78895.0,va,51149
prince william county,virginia,484472,113831.0,va,51153
pulaski county,virginia,33759,55446.0,va,51155
rappahannock county,virginia,7407,90307.0,va,51157
richmond county,virginia,9017,57697.0,va,51159
roanoke county,virginia,96589,74622.0,va,51161
rockbridge county,virginia,22641,57828.0,va,51163
rockingham county,virginia,84394,67484.0,va,51165
russell county,virginia,25550,41100.0,va,51167
scott county,virginia,21419,42561.0,va,51169
shenandoah county,virginia,44752,58609.0,va,51171
smyth county,virginia,29477,42588.0,va,51173
southampton county,virginia,18006,65079.0,va,51175
spotsylvania county,virginia,143676,98973.0,va,51177
stafford county,virginia,160877,119818.0,va,51179
surry county,virginia,6530,61105.0,va,51181
sussex county,virginia,10763,56968.0,va,51183
tazewell county,virginia,39925,42937.0,va,51185
warren county,virginia,40925,72840.0,va,51187
washington county,virginia,53635,54737.0,va,51191
westmoreland county,virginia,18731,53113.0,va,51193
wise county,virginia,35647,44884.0,va,51195
wythe county,virginia,28178,52726.0,va,51197
york county,virginia,70915,96144.0,va,51199
alexandria city,virginia,154706,105450.0,va,51510
bristol city,virginia,17054,43879.0,va,51520
buena vista city,virginia,6601,42156.0,va,51530
charlottesville city,virginia,45672,63470.0,va,51540
chesapeake city,virginia,251269,85563.0,va,51550
colonial heights city,virginia,18273,65570.0,va,51570
covington city,virginia,5717,41242.0,va,51580
danville city,virginia,42215,38904.0,va,51590
emporia city,virginia,5667,36111.0,va,51595
fairfax city,virginia,24276,118492.0,va,51600
falls church city,virginia,14493,155071.0,va,51610
franklin city,virginia,8217,49424.0,va,51620
fredericksburg city,virginia,28367,72293.0,va,51630
galax city,virginia,6660,39808.0,va,51640
hampton city,virginia,137746,59380.0,va,51650
harrisonburg city,virginia,51430,51055.0,va,51660
hopewell city,virginia,23140,44209.0,va,51670
lexington city,virginia,7456,66114.0,va,51678
lynchburg city,virginia,79009,54015.0,va,51680
manassas city,virginia,42708,101934.0,va,51683
manassas park city,virginia,17002,90544.0,va,51685
martinsville city,virginia,13517,36832.0,va,51690
newport news city,virginia,184587,57463.0,va,51700
norfolk city,virginia,235089,56244.0,va,51710
norton city,virginia,3666,35592.0,va,51720
petersburg city,virginia,33429,44890.0,va,51730
poquoson city,virginia,12574,112026.0,va,51735
portsmouth city,virginia,97840,54020.0,va,51740
radford city,virginia,16499,44360.0,va,51750
richmond city,virginia,226604,54795.0,va,51760
roanoke city,virginia,98865,48476.0,va,51770
salem city,virginia,25373,66472.0,va,51775
staunton city,virginia,25661,53041.0,va,51790
suffolk city,virginia,96194,81883.0,va,51800
virginia beach city,virginia,457672,81810.0,va,51810
waynesboro city,virginia,22550,47238.0,va,51820
williamsburg city,virginia,15590,65297.0,va,51830
winchester city,virginia,28136,61321.0,va,51840
adams county,washington,20621,54573.0,wa,53001
asotin county,washington,22397,57263.0,wa,53003
benton county,washington,210025,76612.0,wa,53005
chelan county,washington,79646,64895.0,wa,53007
clallam county,washington,78209,60044.0,wa,53009
clark county,washington,511404,82719.0,wa,53011
columbia county,washington,4042,64688.0,wa,53013
cowlitz county,washington,111524,64506.0,wa,53015
douglas county,washington,43696,68979.0,wa,53017
ferry county,washington,7273,45907.0,wa,53019
franklin county,washington,98268,72452.0,wa,53021
garfield county,washington,2346,50625.0,wa,53023
grant county,washington,100297,63566.0,wa,53025
grays harbor county,washington,76841,53615.0,wa,53027
island county,washington,87432,75628.0,wa,53029
jefferson county,washington,33605,59968.0,wa,53031
king county,washington,2252305,106326.0,wa,53033
kitsap county,washington,274314,84600.0,wa,53035
kittitas county,washington,45499,64134.0,wa,53037
klickitat county,washington,23118,59583.0,wa,53039
lewis county,washington,84398,60581.0,wa,53041
lincoln county,washington,11232,62810.0,wa,53043
mason county,washington,67615,66325.0,wa,53045
okanogan county,washington,42634,51992.0,wa,53047
pacific county,washington,23948,54598.0,wa,53049
pend oreille county,washington,13886,59134.0,wa,53051
pierce county,washington,925708,82574.0,wa,53053
san juan county,washington,18557,68577.0,wa,53055
skagit county,washington,130696,75308.0,wa,53057
skamania county,washington,12170,75565.0,wa,53059
snohomish county,washington,833540,95618.0,wa,53061
spokane county,washington,546040,64079.0,wa,53063
stevens county,washington,47426,57206.0,wa,53065
thurston county,washington,297977,81501.0,wa,53067
wahkiakum county,washington,4582,54422.0,wa,53069
walla walla county,washington,62682,63686.0,wa,53071
whatcom county,washington,228831,70011.0,wa,53073
whitman county,washington,47873,43613.0,wa,53075
yakima county,washington,256035,58380.0,wa,53077
barbour county,west virginia,15468,42260.0,wv,54001
berkeley county,west virginia,126069,68101.0,wv,54003
boone county,west virginia,21312,50598.0,wv,54005
braxton county,west virginia,12247,42519.0,wv,54007
brooke county,west virginia,22140,51210.0,wv,54009
cabell county,west virginia,93418,43779.0,wv,54011
calhoun county,west virginia,6176,37428.0,wv,54013
clay county,west virginia,7892,37197.0,wv,54015
doddridge county,west virginia,7735,58750.0,wv,54017
fayette county,west virginia,39927,45988.0,wv,54019
gilmer county,west virginia,7377,45870.0,wv,54021
grant county,west virginia,10983,47224.0,wv,54023
greenbrier county,west virginia,32608,41694.0,wv,54025
hampshire county,west virginia,23302,50890.0,wv,54027
hancock county,west virginia,28656,52062.0,wv,54029
hardy county,west virginia,14160,46592.0,wv,54031
harrison county,west virginia,65158,54124.0,wv,54033
jackson county,west virginia,27738,53165.0,wv,54035
jefferson county,west virginia,58370,86711.0,wv,54037
kanawha county,west virginia,177952,50574.0,wv,54039
lewis county,west virginia,16892,45345.0,wv,54041
lincoln county,west virginia,20126,46683.0,wv,54043
logan county,west virginia,31909,38493.0,wv,54045
mcdowell county,west virginia,18363,30127.0,wv,54047
marion county,west virginia,56001,55094.0,wv,54049
marshall county,west virginia,30115,52371.0,wv,54051
mason county,west virginia,25157,49957.0,wv,54053
mercer county,west virginia,59097,43293.0,wv,54055
mineral county,west virginia,26857,57345.0,wv,54057
mingo county,west virginia,23005,35349.0,wv,54059
monongalia county,west virginia,106387,56466.0,wv,54061
monroe county,west virginia,12332,47417.0,wv,54063
morgan county,west virginia,17221,56616.0,wv,54065
nicholas county,west virginia,24300,42946.0,wv,54067
ohio county,west virginia,41776,51516.0,wv,54069
pendleton county,west virginia,6142,46506.0,wv,54071
pleasants county,west virginia,7601,58433.0,wv,54073
pocahontas county,west virginia,7841,37225.0,wv,54075
preston county,west virginia,34358,55755.0,wv,54077
putnam county,west virginia,57260,68740.0,wv,54079
raleigh county,west virginia,73771,43150.0,wv,54081
randolph county,west virginia,27806,47343.0,wv,54083
ritchie county,west virginia,8383,45184.0,wv,54085
roane county,west virginia,13898,38608.0,wv,54087
summers county,west virginia,11908,41077.0,wv,54089
taylor county,west virginia,16492,52823.0,wv,54091
tucker county,west virginia,6672,49808.0,wv,54093
tyler county,west virginia,8155,50601.0,wv,54095
upshur county,west virginia,23791,44470.0,wv,54097
wayne county,west virginia,38498,45591.0,wv,54099
webster county,west virginia,8249,37720.0,wv,54101
wetzel county,west virginia,14170,47611.0,wv,54103
wirt county,west virginia,5063,49441.0,wv,54105
wood county,west virginia,83624,50231.0,wv,54107
wyoming county,west virginia,21051,44630.0,wv,54109
adams county,wisconsin,20875,51878.0,wi,55001
ashland county,wisconsin,16107,55070.0,wi,55003
barron county,wisconsin,46719,55256.0,wi,55005
bayfield county,wisconsin,16320,62859.0,wi,55007
brown county,wisconsin,269591,68799.0,wi,55009
buffalo county,wisconsin,13302,61167.0,wi,55011
burnett county,wisconsin,16744,55890.0,wi,55013
calumet county,wisconsin,52539,78453.0,wi,55015
chippewa county,wisconsin,66865,63172.0,wi,55017
clark county,wisconsin,34746,57547.0,wi,55019
columbia county,wisconsin,58488,73786.0,wi,55021
crawford county,wisconsin,16075,54526.0,wi,55023
dane county,wisconsin,563951,78452.0,wi,55025
dodge county,wisconsin,89313,66403.0,wi,55027
door county,wisconsin,30369,63856.0,wi,55029
douglas county,wisconsin,44203,59688.0,wi,55031
dunn county,wisconsin,45547,64420.0,wi,55033
eau claire county,wisconsin,106452,64777.0,wi,55035
florence county,wisconsin,4593,52143.0,wi,55037
fond du lac county,wisconsin,104362,66390.0,wi,55039
forest county,wisconsin,9258,51959.0,wi,55041
grant county,wisconsin,52110,58289.0,wi,55043
green county,wisconsin,36988,70267.0,wi,55045
green lake county,wisconsin,19229,60597.0,wi,55047
iowa county,wisconsin,23756,73716.0,wi,55049
iron county,wisconsin,6178,48908.0,wi,55051
jackson county,wisconsin,21121,59422.0,wi,55053
jefferson county,wisconsin,84943,71735.0,wi,55055
juneau county,wisconsin,26802,58561.0,wi,55057
kenosha county,wisconsin,168732,70073.0,wi,55059
kewaunee county,wisconsin,20543,72328.0,wi,55061
la crosse county,wisconsin,120433,62817.0,wi,55063
lafayette county,wisconsin,16784,65009.0,wi,55065
langlade county,wisconsin,19502,53313.0,wi,55067
lincoln county,wisconsin,28541,61363.0,wi,55069
manitowoc county,wisconsin,81505,61454.0,wi,55071
marathon county,wisconsin,137648,67940.0,wi,55073
marinette county,wisconsin,41875,55694.0,wi,55075
marquette county,wisconsin,15792,55386.0,wi,55077
menominee county,wisconsin,4289,54940.0,wi,55078
milwaukee county,wisconsin,928059,54793.0,wi,55079
monroe county,wisconsin,46193,63061.0,wi,55081
oconto county,wisconsin,39356,68426.0,wi,55083
oneida county,wisconsin,38259,62660.0,wi,55085
outagamie county,wisconsin,191545,72695.0,wi,55087
ozaukee county,wisconsin,92497,86915.0,wi,55089
pepin county,wisconsin,7364,63015.0,wi,55091
pierce county,wisconsin,42587,78341.0,wi,55093
polk county,wisconsin,45431,67878.0,wi,55095
portage county,wisconsin,70468,65550.0,wi,55097
price county,wisconsin,14050,52052.0,wi,55099
racine county,wisconsin,196896,67224.0,wi,55101
richland county,wisconsin,17212,56089.0,wi,55103
rock county,wisconsin,164381,65518.0,wi,55105
rusk county,wisconsin,14123,51978.0,wi,55107
st. croix county,wisconsin,95044,91320.0,wi,55109
sauk county,wisconsin,65697,67702.0,wi,55111
sawyer county,wisconsin,18295,53011.0,wi,55113
shawano county,wisconsin,40859,59767.0,wi,55115
sheboygan county,wisconsin,117747,65352.0,wi,55117
taylor county,wisconsin,19923,56350.0,wi,55119
trempealeau county,wisconsin,30724,64336.0,wi,55121
vernon county,wisconsin,30915,57933.0,wi,55123
vilas county,wisconsin,23520,56837.0,wi,55125
walworth county,wisconsin,106799,69382.0,wi,55127
washburn county,wisconsin,16752,54550.0,wi,55129
washington county,wisconsin,137175,85574.0,wi,55131
waukesha county,wisconsin,408756,94310.0,wi,55133
waupaca county,wisconsin,51570,65070.0,wi,55135
waushara county,wisconsin,24828,57224.0,wi,55137
winnebago county,wisconsin,171623,63938.0,wi,55139
wood county,wisconsin,74070,57996.0,wi,55141
albany county,wyoming,37608,50733.0,wy,56001
big horn county,wyoming,11632,56059.0,wy,56003
campbell county,wyoming,46401,87547.0,wy,56005
carbon county,wyoming,14649,62654.0,wy,56007
converse county,wyoming,13672,73698.0,wy,56009
crook county,wyoming,7315,67835.0,wy,56011
fremont county,wyoming,39336,57887.0,wy,56013
goshen county,wyoming,12537,58318.0,wy,56015
hot springs county,wyoming,4597,60805.0,wy,56017
johnson county,wyoming,8623,58020.0,wy,56019
laramie county,wyoming,100863,71550.0,wy,56021
lincoln county,wyoming,20153,74835.0,wy,56023
natrona county,wyoming,79555,64100.0,wy,56025
niobrara county,wyoming,2438,48688.0,wy,56027
park county,wyoming,30108,62586.0,wy,56029
platte county,wyoming,8699,59402.0,wy,56031
sheridan county,wyoming,31646,62531.0,wy,56033
sublette county,wyoming,8697,82342.0,wy,56035
sweetwater county,wyoming,41614,76668.0,wy,56037
teton county,wyoming,23575,94498.0,wy,56039
uinta county,wyoming,20635,75106.0,wy,56041
washakie county,wyoming,7705,62271.0,wy,56043
weston county,wyoming,6745,65566.0,wy,56045
